x-axis,1,2,F1
second,Volt,Volt,Volt
-40.55000E-06,-614.88820477E-03,-519.79587166E-03,-95.06490500E-03
-40.50000E-06,-615.03703881E-03,-517.21276629E-03,-97.80079530E-03
-40.45000E-06,-615.22456442E-03,-515.10235315E-03,-100.09875828E-03
-40.40000E-06,-615.55820292E-03,-513.03186778E-03,-102.50599214E-03
-40.35000E-06,-615.88376466E-03,-510.83297961E-03,-105.03104352E-03
-40.30000E-06,-616.08605307E-03,-508.86399461E-03,-107.19648054E-03
-40.25000E-06,-615.94598551E-03,-506.55275539E-03,-109.36826102E-03
-40.20000E-06,-616.24529305E-03,-504.05399056E-03,-112.16515542E-03
-40.15000E-06,-616.67279989E-03,-501.99928560E-03,-114.64720181E-03
-40.10000E-06,-617.42305686E-03,-499.91353994E-03,-117.48445389E-03
-40.05000E-06,-617.25249886E-03,-497.62245682E-03,-119.60088115E-03
-40.00000E-06,-617.42402170E-03,-496.05019048E-03,-121.35047987E-03
-39.95000E-06,-617.70234776E-03,-493.86713547E-03,-123.81288063E-03
-39.90000E-06,-618.18408159E-03,-490.63568054E-03,-127.51871107E-03
-39.85000E-06,-618.53760106E-03,-489.21929985E-03,-129.28756167E-03
-39.80000E-06,-618.87795575E-03,-486.86828738E-03,-131.97595863E-03
-39.75000E-06,-619.24070904E-03,-484.96806605E-03,-134.24143554E-03
-39.70000E-06,-618.98100514E-03,-483.43666216E-03,-135.49960178E-03
-39.65000E-06,-619.14773770E-03,-481.11088628E-03,-137.99430579E-03
-39.60000E-06,-619.15044378E-03,-479.01173840E-03,-140.09880668E-03
-39.55000E-06,-619.96915913E-03,-476.98585425E-03,-142.94759723E-03
-39.50000E-06,-620.36569311E-03,-474.38464306E-03,-145.94507180E-03
-39.45000E-06,-620.46258787E-03,-472.86135362E-03,-147.56646651E-03
-39.40000E-06,-620.61488930E-03,-470.71722763E-03,-149.84593349E-03
-39.35000E-06,-620.63702408E-03,-468.83578675E-03,-151.75737894E-03
-39.30000E-06,-620.89564254E-03,-466.61753394E-03,-154.22929080E-03
-39.25000E-06,-620.85486676E-03,-464.75488858E-03,-156.05637279E-03
-39.20000E-06,-621.39810158E-03,-462.89671691E-03,-158.45494988E-03
-39.15000E-06,-621.51958090E-03,-461.18602247E-03,-160.28382370E-03
-39.10000E-06,-622.10269073E-03,-458.40860746E-03,-163.65195889E-03
-39.05000E-06,-621.21065888E-03,-456.77000086E-03,-164.40177050E-03
-39.00000E-06,-622.00105468E-03,-455.44677995E-03,-166.49739313E-03
-38.95000E-06,-621.93192544E-03,-453.12575666E-03,-168.76042898E-03
-38.90000E-06,-622.60122257E-03,-451.55314734E-03,-170.99366592E-03
-38.85000E-06,-623.33799063E-03,-449.08608277E-03,-174.19865709E-03
-38.80000E-06,-623.38009306E-03,-447.59660418E-03,-175.73808252E-03
-38.75000E-06,-623.70554927E-03,-445.80568861E-03,-177.83820873E-03
-38.70000E-06,-623.52448356E-03,-443.77470513E-03,-179.70251007E-03
-38.65000E-06,-623.61309428E-03,-442.19613718E-03,-181.36246596E-03
-38.60000E-06,-623.95069767E-03,-440.61084927E-03,-183.27989393E-03
-38.55000E-06,-624.77375480E-03,-438.46425841E-03,-186.25578690E-03
-38.50000E-06,-624.10814742E-03,-436.19605255E-03,-187.85716215E-03
-38.45000E-06,-624.66369525E-03,-435.01916690E-03,-189.57832605E-03
-38.40000E-06,-625.18348371E-03,-432.42937926E-03,-192.68698989E-03
-38.35000E-06,-625.27974153E-03,-431.04698278E-03,-194.16521201E-03
-38.30000E-06,-625.65734430E-03,-429.38083679E-03,-196.21422607E-03
-38.25000E-06,-625.87608398E-03,-427.06210500E-03,-198.74820493E-03
-38.20000E-06,-625.65024745E-03,-426.18073538E-03,-199.39884387E-03
-38.15000E-06,-626.27642455E-03,-424.16263778E-03,-202.04514992E-03
-38.10000E-06,-626.65733265E-03,-421.68742107E-03,-204.91348648E-03
-38.05000E-06,-626.60961455E-03,-420.66111446E-03,-205.88703957E-03
-38.00000E-06,-626.59094340E-03,-418.30875649E-03,-208.21992381E-03
-37.95000E-06,-627.19494803E-03,-416.59850679E-03,-210.53237256E-03
-37.90000E-06,-627.38572998E-03,-414.86938240E-03,-212.44756222E-03
-37.85000E-06,-627.46895116E-03,-413.40155994E-03,-214.00193399E-03
-37.80000E-06,-627.25739124E-03,-411.75344816E-03,-215.43035178E-03
-37.75000E-06,-627.90355107E-03,-409.88236045E-03,-217.95327500E-03
-37.70000E-06,-628.23956775E-03,-407.50867426E-03,-220.66329692E-03
-37.65000E-06,-628.57406933E-03,-406.75225136E-03,-221.75049792E-03
-37.60000E-06,-628.46861161E-03,-404.51367285E-03,-223.89082829E-03
-37.55000E-06,-628.39205762E-03,-402.78266779E-03,-225.54838179E-03
-37.50000E-06,-629.19587073E-03,-401.45193546E-03,-227.67706237E-03
-37.45000E-06,-629.11177139E-03,-399.38872031E-03,-229.64565171E-03
-37.40000E-06,-629.37485223E-03,-397.70021341E-03,-231.61260157E-03
-37.35000E-06,-629.68296394E-03,-396.23330679E-03,-233.37909197E-03
-37.30000E-06,-630.03451605E-03,-394.40488685E-03,-235.55208067E-03
-37.25000E-06,-629.83498648E-03,-392.78113350E-03,-236.97746209E-03
-37.20000E-06,-630.09939397E-03,-391.65036416E-03,-238.37265201E-03
